key,title_he,speed_he,domain_he,topic_he,description_he,keywords_he,file_name,file_path,public_path,image_url,status,width,height,model,style_policy
1.1.1.1,פיצוץ באיראן,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה פיצוץ באיראן בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, פיצוץ באיראן, אילוסטרציה, חדשות, פואנטה",poenta_001_1_1_1_1_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_001_1_1_1_1_calm.jpg,/assets/poenta-image-bank/poenta_001_1_1_1_1_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_001_1_1_1_1_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.1.2,פיצוץ אונייה בהורמוז,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה פיצוץ אונייה בהורמוז בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, פיצוץ אונייה בהורמוז, אילוסטרציה, חדשות, פואנטה",poenta_002_1_1_1_2_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_002_1_1_1_2_calm.jpg,/assets/poenta-image-bank/poenta_002_1_1_1_2_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_002_1_1_1_2_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.1.3,אזעקות בצפון,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה אזעקות בצפון בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, אזעקות בצפון, אילוסטרציה, חדשות, פואנטה",poenta_003_1_1_1_3_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_003_1_1_1_3_calm.jpg,/assets/poenta-image-bank/poenta_003_1_1_1_3_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_003_1_1_1_3_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.1.4,יירוט בשמי העיר,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה יירוט בשמי העיר בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, יירוט בשמי העיר, אילוסטרציה, חדשות, פואנטה",poenta_004_1_1_1_4_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_004_1_1_1_4_calm.jpg,/assets/poenta-image-bank/poenta_004_1_1_1_4_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_004_1_1_1_4_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.1.5,טנקים באזור גבול,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה טנקים באזור גבול בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, טנקים באזור גבול, אילוסטרציה, חדשות, פואנטה",poenta_005_1_1_1_5_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_005_1_1_1_5_calm.jpg,/assets/poenta-image-bank/poenta_005_1_1_1_5_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_005_1_1_1_5_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.1.6,חדר מצב ביטחוני,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה חדר מצב ביטחוני בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, חדר מצב ביטחוני, אילוסטרציה, חדשות, פואנטה",poenta_006_1_1_1_6_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_006_1_1_1_6_calm.jpg,/assets/poenta-image-bank/poenta_006_1_1_1_6_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_006_1_1_1_6_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.1.7,עשן באופק עירוני,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה עשן באופק עירוני בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, עשן באופק עירוני, אילוסטרציה, חדשות, פואנטה",poenta_007_1_1_1_7_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_007_1_1_1_7_calm.jpg,/assets/poenta-image-bank/poenta_007_1_1_1_7_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_007_1_1_1_7_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.1.8,תדרוך ביטחוני לילי,מהיר,ביטחון,מלחמה,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה תדרוך ביטחוני לילי בהקשר של מלחמה, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, מלחמה, תדרוך ביטחוני לילי, אילוסטרציה, חדשות, פואנטה",poenta_008_1_1_1_8_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_008_1_1_1_8_calm.jpg,/assets/poenta-image-bank/poenta_008_1_1_1_8_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_008_1_1_1_8_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.2.1,גדר גבול בשעת ערב,מהיר,ביטחון,גבול,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה גדר גבול בשעת ערב בהקשר של גבול, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, גבול, גדר גבול בשעת ערב, אילוסטרציה, חדשות, פואנטה",poenta_009_1_1_2_1_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_009_1_1_2_1_calm.jpg,/assets/poenta-image-bank/poenta_009_1_1_2_1_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_009_1_1_2_1_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
1.1.2.2,מחסום ביטחוני,מהיר,ביטחון,גבול,"אילוסטרציה 16:9 בגודל 1280x720 בסגנון צילום חדשותי נקי. הסצנה מציגה מחסום ביטחוני בהקשר של גבול, ללא אנשים מזוהים, ללא לוגואים וללא הצגה כאירוע אמיתי. קומפוזיציה ברורה עם עומק, תאורה טבעית, ומקום נקי לכותרת במקרה הצורך.","מהיר, ביטחון, גבול, מחסום ביטחוני, אילוסטרציה, חדשות, פואנטה",poenta_010_1_1_2_2_calm.jpg,/root/.openclaw/workspace/generated/poenta-image-bank/images/1280x720/poenta_010_1_1_2_2_calm.jpg,/assets/poenta-image-bank/poenta_010_1_1_2_2_calm.jpg,https://poanta-demo.pages.dev/assets/poenta-image-bank/poenta_010_1_1_2_2_calm.jpg,approved_by_user,1280,720,gemini-3.1-flash-lite-image,calm_realistic_optimistic_editorial
